discount_factor,learn_rate,hidden_dim,init_temp,result
0.98,0.01,64,1.05,88.79306666666668
0.98,0.01,64,1.1,92.20693333333334
0.98,0.01,64,1.15,87.74
0.98,0.01,128,1.05,50.63733333333333
0.98,0.01,128,1.1,34.23173333333333
0.98,0.01,128,1.15,59.71040000000001
0.98,0.01,256,1.05,11.732000000000001
0.98,0.01,256,1.1,50.74373333333334
0.98,0.01,256,1.15,37.84746666666666
0.98,0.001,64,1.05,58.51306666666667
0.98,0.001,64,1.1,56.19786666666666
0.98,0.001,64,1.15,53.98266666666666
0.98,0.001,128,1.05,76.66746666666667
0.98,0.001,128,1.1,77.59786666666666
0.98,0.001,128,1.15,76.35973333333334
0.98,0.001,256,1.05,88.6848
0.98,0.001,256,1.1,82.4208
0.98,0.001,256,1.15,88.65413333333333
0.98,0.0001,64,1.05,23.522933333333334
0.98,0.0001,64,1.1,24.101333333333336
0.98,0.0001,64,1.15,23.146133333333335
0.98,0.0001,128,1.05,26.693599999999996
0.98,0.0001,128,1.1,26.39013333333333
0.98,0.0001,128,1.15,25.572533333333332
0.98,0.0001,256,1.05,27.824533333333328
0.98,0.0001,256,1.1,28.277866666666664
0.98,0.0001,256,1.15,30.123466666666662
0.985,0.01,64,1.05,86.1256
0.985,0.01,64,1.1,105.968
0.985,0.01,64,1.15,112.38319999999999
0.985,0.01,128,1.05,69.45973333333333
0.985,0.01,128,1.1,59.287200000000006
0.985,0.01,128,1.15,77.55493333333332
0.985,0.01,256,1.05,25.662666666666667
0.985,0.01,256,1.1,23.467466666666667
0.985,0.01,256,1.15,58.06320000000001
0.985,0.001,64,1.05,55.766666666666666
0.985,0.001,64,1.1,57.22106666666666
0.985,0.001,64,1.15,49.0304
0.985,0.001,128,1.05,71.8056
0.985,0.001,128,1.1,78.89733333333334
0.985,0.001,128,1.15,79.0744
0.985,0.001,256,1.05,92.35119999999999
0.985,0.001,256,1.1,90.10373333333332
0.985,0.001,256,1.15,101.83200000000001
0.985,0.0001,64,1.05,23.680266666666668
0.985,0.0001,64,1.1,23.5728
0.985,0.0001,64,1.15,23.674933333333335
0.985,0.0001,128,1.05,26.6904
0.985,0.0001,128,1.1,26.4968
0.985,0.0001,128,1.15,25.9976
0.985,0.0001,256,1.05,28.07013333333333
0.985,0.0001,256,1.1,29.0656
0.985,0.0001,256,1.15,27.6256
0.99,0.01,64,1.05,90.23599999999999
0.99,0.01,64,1.1,94.81493333333334
0.99,0.01,64,1.15,97.3296
0.99,0.01,128,1.05,35.45653333333333
0.99,0.01,128,1.1,62.2728
0.99,0.01,128,1.15,73.54213333333333
0.99,0.01,256,1.05,27.988799999999998
0.99,0.01,256,1.1,25.478133333333336
0.99,0.01,256,1.15,44.044799999999995
0.99,0.001,64,1.05,59.943999999999996
0.99,0.001,64,1.1,58.48613333333333
0.99,0.001,64,1.15,59.21066666666667
0.99,0.001,128,1.05,84.2184
0.99,0.001,128,1.1,79.57866666666666
0.99,0.001,128,1.15,72.6416
0.99,0.001,256,1.05,99.7904
0.99,0.001,256,1.1,91.60506666666666
0.99,0.001,256,1.15,97.32746666666667
0.99,0.0001,64,1.05,25.212799999999998
0.99,0.0001,64,1.1,23.6952
0.99,0.0001,64,1.15,23.246933333333335
0.99,0.0001,128,1.05,26.53066666666667
0.99,0.0001,128,1.1,25.373866666666668
0.99,0.0001,128,1.15,25.615999999999996
0.99,0.0001,256,1.05,29.432
0.99,0.0001,256,1.1,28.795733333333335
0.99,0.0001,256,1.15,29.481333333333332
